"dpID","table","records","dupNum","dupPct","other"
"DP4.00132.001","bat_resultsFile","3","0",0,
"DP4.00132.001","bat_sonarRecord","12","0",0,
"DP1.10067.001","bbc_chemistryPooling","1989","0",0,
"DP1.10067.001","bbc_dilution","2950","0",0,
"DP1.10067.001","bbc_percore","1026","0",0,
"DP1.10067.001","bbc_rootmass","8782","2",0.0227738556137554,
"DP1.10022.001","bet_archivepooling","9025","0",0,
"DP1.10022.001","bet_expertTaxonomistIDProcessed","9798","35",0.357215758318024,
"DP1.10022.001","bet_fielddata","26365","0",0,
"DP1.10022.001","bet_parataxonomistID","23952","0",0,
"DP1.10022.001","bet_sorting","48033","0",0,
"DP1.10003.001","brd_countdata","removeDups() failed",NA,NA,
"DP1.10003.001","brd_perpoint","6249","0",0,
"DP1.10014.001","cdw_densitydisk","1037","342",32.9797492767599,
"DP1.10014.001","cdw_densitylog","471","4",0.849256900212314,"Primary key fields contain NA values and/or empty strings"
"DP1.10010.001","cdw_fieldtally","2354","61",2.59133389974511,"Primary key fields contain NA values and/or empty strings"
"DP1.20254.001","dep_profileData","2615","0",0,
"DP1.20254.001","dep_profileHeader","273","0",0,
"DP1.20252.001","dep_secchi","273","0",0,
"DP1.10017.001","dhp_perimagefile","removeDups() failed",NA,NA,
"DP1.10017.001","dhp_perplot","removeDups() failed",NA,NA,
"DP1.10058.001","div_10m2Data100m2Data","170774","40457",23.6903744129668,"Primary key fields contain NA values and/or empty strings."
"DP1.10058.001","div_1m2Data",279780,"Manually stopped: 80667 duplicated key values found, representing 162620 non-unique records.",,"Primary key fields contain NA values and/or empty strings."
"DP1.00101.001","dpm_field","29","0",0,
"DP1.00101.001","dpm_lab","29","5",17.2413793103448,
"DP1.20048.001","dsc_fieldData","683","25",3.66032210834553,
"DP1.20048.001","dsc_fieldDataADCP","2","0",0,
"DP1.20048.001","dsc_individualFieldData","17355","588",3.38807260155575,
"DP1.20107.001","fsh_bulkCount","removeDups() failed",NA,NA,
"DP1.20107.001","fsh_fieldData","321","33",10.2803738317757,
"DP1.20107.001","fsh_perFish","removeDups() failed",NA,NA,
"DP1.20107.001","fsh_perPass","Date",NA,NA,
"DP1.20267.001","gag_fieldData","1975","4",0.20253164556962,
"DP4.00131.001","geo_featureInfo","223","5",2.24215246636771,
"DP4.00131.001","geo_pebbleCount","removeDups() failed",NA,NA,
"DP4.00131.001","geo_resultsFile","15","0",0,
"DP4.00131.001","geo_surveyFieldData","removeDups() failed",NA,NA,
"DP4.00131.001","geo_totalStation","425","0",0,
"DP1.20092.001","gwc_domainLabData","removeDups() failed",NA,NA,
"DP1.20092.001","gwc_externalLabData","210","0",0,
"DP1.20092.001","gwc_fieldData","214","0",0,
"DP1.20092.001","gwc_fieldSuperParent","233","0",0,
"DP1.10023.001","hbp_massdata","removeDups() failed",NA,NA,
"DP1.10023.001","hbp_perbout","removeDups() failed",NA,NA,
"DP1.20126.001","inv_dnaExtraction","95","0",0,
"DP1.20126.001","inv_fieldData","1023","59",5.76735092864125,
"DP1.20126.001","inv_markerGeneSequencing","48","48",100,"Primary key fields contain NA values and/or empty strings."
"DP1.20126.001","inv_pcrAmplification","48","48",100,"Primary key fields contain NA values and/or empty strings."
"DP1.20120.001","inv_fieldData","1023","3",0.293255131964809,"Primary key fields contain NA values and/or empty strings."
"DP1.20120.001","inv_persample","removeDups() failed",NA,NA,
"DP1.20120.001","inv_taxonomyProcessed","57420","886",1.54301637060258,"Primary key fields contain NA values and/or empty strings."
"DP1.10076.001","mam_BOLDcollectionData","removeDups() failed",NA,NA,
"DP1.10076.001","mam_BOLDspecimenDetails","removeDups() failed",NA,NA,
"DP1.10076.001","mam_BOLDtaxonomy","removeDups() failed",NA,NA,
"DP1.10076.001","mam_BOLDvoucherInfo","removeDups() failed",NA,NA,
"DP1.10072.001","mam_perplotnight","3461","12",0.346720600982375,
"DP1.10072.001","mam_pertrapnight","346177","3108",0.897806613379861,"Primary key fields contain NA values and/or empty strings."
"DP1.20086.001","mcc_benthicTaxonTableMetadata_16S","323","0",0,
"DP1.20086.001","mcc_benthicTaxonTableMetadata_ITS","359","0",0,
"DP1.10081.001","mcc_soilTaxonTableMetadata_16S","2280","0",0,
"DP1.10081.001","mcc_soilTaxonTableMetadata_ITS","2057","0",0,
"DP1.20141.001","mcc_swTaxonTableMetadata_16S","234","0",0,
"DP1.20141.001","mcc_swTaxonTableMetadata_ITS","213","0",0,
"DP1.20277.001","mga_benthicGroupAbundances","1214","0",0,
"DP1.10109.001","mga_soilGroupAbundances","removeDups() failed",NA,NA,
"DP1.20278.001","mga_swGroupAbundances","866","0",0,
"DP1.00097.001","mgc_perarchivesample","22","1",4.54545454545455,
"DP1.00097.001","mgc_perbiogeosample","26","5",19.2307692307692,
"DP1.00097.001","mgc_perhorizon","22","0",0,
"DP1.00097.001","mgc_permegapit","3","0",0,
"DP1.00096.001","mgp_perarchivesample","22","22",100,
"DP1.00096.001","mgp_perbiogeosample","26","0",0,
"DP1.00096.001","mgp_perbulksample","22","1",4.54545454545455,
"DP1.00096.001","mgp_perhorizon","22","0",0,
"DP1.00096.001","mgp_permegapit","3","0",0,
"DP1.20279.001","amb_fieldParent","669","0",0,
"DP1.20279.001","mms_benthicMetagenomeDnaExtraction","645","0",0,
"DP1.20279.001","mms_benthicMetagenomeSequencing","300","0",0,
"DP1.10107.001","mms_metagenomeDnaExtraction","2274","0",0,
"DP1.10107.001","mms_metagenomeSequencing","587","0",0,
"DP1.20281.001","amc_fieldGenetic","81","0",0,
"DP1.20281.001","amc_fieldSuperParent","84","84",100,"Primary key fields contain NA values and/or empty strings."
"DP1.20281.001","mms_swMetagenomeDnaExtraction","80","0",0,
"DP1.20281.001","mms_swMetagenomeSequencing","73","0",0,
"DP1.10043.001","mos_archivepooling","2853","0",0,
"DP1.10043.001","mos_barcoding","2932","0",0,
"DP1.10043.001","mos_expertTaxonomistIDProcessed","removeDups() failed",NA,NA,
"DP1.10043.001","mos_expertTaxonomistIDRaw","removeDups() failed",NA,NA,
"DP1.10043.001","mos_sorting","11411","0",0,
"DP1.10043.001","mos_trapping","20297","4",0.0197073459131891,
"DP1.10041.001","mos_pathogenpooling","5282","0",0,
"DP1.10041.001","mos_pathogenresults","15890","0",0,
"DP1.10066.001","mpr_perdepthincrement","90","0",0,
"DP1.10066.001","mpr_perpitprofile","24","0",0,
"DP1.10066.001","mpr_perrootsample","198","0",0,
"DP1.10055.001","phe_perindividual","15363","853",5.55230098288095,
"DP1.10055.001","phe_perindividualperyear","3529","12",0.340039671294984,
"DP1.20190.001","rea_backgroundFieldCondData","430","0",0,
"DP1.20190.001","rea_backgroundFieldSaltData","808","0",0,
"DP1.20190.001","rea_externalLabDataGas","removeDups() failed",NA,NA,
"DP1.20190.001","rea_externalLabDataSalt","removeDups() failed",NA,NA,
"DP1.20190.001","rea_fieldData","215","0",0,
"DP1.20190.001","rea_plateauMeasurementFieldData","806","0",0,
"DP1.20190.001","rea_plateauSampleFieldData","4010","0",0,
"DP1.20190.001","rea_widthFieldData","6391","0",0,
"DP1.20193.001","sbd_backgroundFieldCondData","removeDups() failed",NA,NA,
"DP1.20193.001","sbd_backgroundFieldSaltData","808","0",0,"Primary key fields contain NA values and/or empty strings."
"DP1.20193.001","sbd_externalLabDataSalt","removeDups() failed",NA,NA,
"DP1.20193.001","sbd_fieldData","215","0",0,
"DP1.20193.001","sbd_plateauMeasurementFieldData","806","0",0,
"DP1.20193.001","sbd_plateauSampleFieldData","4010","0",0,
"DP1.20275.001","rip_assessment","1198","1198",100,"Primary key fields contain NA values and/or empty strings."
"DP1.20275.001","rip_percentComposition","2841","2841",100,"Primary key fields contain NA values and/or empty strings."
"DP1.10064.001","rpt_bloodtesting","removeDups() failed",NA,NA,
"DP1.20097.001","sdg_externalLabData","removeDups() failed",NA,NA,
"DP1.20097.001","sdg_fieldData","1071","0",0,
"DP1.20097.001","sdg_fieldDataAir","947","0",0,
"DP1.20097.001","sdg_fieldDataProc","1071","0",0,
"DP1.20097.001","sdg_fieldSuperParent","1078","0",0,
"DP1.20194.001","asc_externalLabData","9622","2358",24.5063396383288,"Primary key fields contain NA values and/or empty strings."
"DP1.20194.001","asc_fieldDataPoint","2126","0",0,
"DP1.20194.001","asc_fieldDataStation","199","4",2.01005025125628,
"DP1.20194.001","asc_fieldDataZone","732","0",0,
"DP1.20197.001","asc_fieldDataPoint","2126","0",0,
"DP1.20197.001","asc_fieldDataStation","199","4",2.01005025125628,
"DP1.20197.001","asc_fieldDataZone","732","0",0,
"DP1.20197.001","asp_externalLabData","812","64",7.88177339901478,"Primary key fields contain NA values and/or empty strings."
"DP1.10111.001","sim_eventData","204","41",20.0980392156863,"Primary key fields contain NA values and/or empty strings."
"DP1.10086.001","sls_bgcSubsampling","removeDups() failed",NA,NA,
"DP1.10086.001","sls_metagenomicsPooling","683","0",0,
"DP1.10086.001","sls_soilCoreCollection","removeDups() failed",NA,NA,
"DP1.10086.001","sls_soilMoisture","removeDups() failed",NA,NA,
"DP1.10086.001","sls_soilpH","removeDups() failed",NA,NA,
"DP1.10104.001","sme_microbialBiomass","778","54",6.94087403598972,
"DP1.10008.001","spc_biogeochem","removeDups() failed",NA,NA,
"DP1.10047.001","spc_bulkdensity","621","0",0,
"DP1.10047.001","spc_particlesize","1259","0",0,
"DP1.10047.001","spc_perhorizon","1406","0",0,
"DP1.10047.001","spc_perplot","311","0",0,
"DP1.20093.001","swc_domainLabData","removeDups() failed",NA,NA,
"DP1.20093.001","swc_externalLabData","1199","3",0.250208507089241,
"DP1.20093.001","swc_fieldData","1206","0",0,
"DP1.20093.001","swc_fieldSuperParent","1082","0",0,
"DP1.10093.001","tck_fielddata","removeDups() failed",NA,NA,
"DP1.10093.001","tck_taxonomyProcessed","removeDups() failed",NA,NA,
"DP1.10092.001","tck_pathogen","removeDups() failed",NA,NA,
"DP1.10098.001","vst_apparentindividual","80799","25564",31.6390054332356,"Primary key fields contain NA values and/or empty strings."
"DP1.10098.001","vst_mappingandtagging","103688","1681",1.62120978319574,
"DP1.10098.001","vst_perplotperyear","990","165",16.6666666666667,
"DP1.10098.001","vst_shrubgroup","125","4",3.2,
"DP1.10045.001","nst_perindividual","24877","Manually stopped: 44 duplicated key values found, representing 23724 non-unique records.",,"Primary key fields contain NA values and/or empty strings."
"DP1.00013.001","wdp_chemLab","8","1",12.5,
"DP1.00013.001","wdp_collection","8","0",0,
"DP1.00013.001","wdp_collectionChem","8","0",0,
"DP1.00038.001","wdi_collection","8","0",0,
"DP1.00038.001","wdi_collectionIso","8","0",0,
"DP1.00038.001","wdi_collectionIsoTest","8","0",0,
"DP1.00038.001","wdi_isoPerSample","removeDups() failed",NA,NA,
"DP1.20221.001","zoo_dnaExtraction","27","0",0,
"DP1.20221.001","zoo_fieldData","48","0",0,
"DP1.20221.001","zoo_markerGeneSequencing","48","48",100,"Primary key fields contain NA values and/or empty strings."
"DP1.20221.001","zoo_pcrAmplification","90","48",53.3333333333333,"Primary key fields contain NA values and/or empty strings."
"DP1.20219.001","zoo_fieldData","90","0",0,
"DP1.20219.001","zoo_taxonomyProcessed","1163","0",0,
