Domain,Site,Plot Type,Data Product Name,DPID,,Interannual Frequency,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4,CUPE,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
4,GUIL,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
5,CRAM,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
5,LIRO,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
6,KING,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
6,MCDI,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,Y,Y,Y,Y,
7,LECO,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
7,WALK,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
8,BLWA,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
8,MAYF,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
8,TOMB,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRLA,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRPO,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
10,ARIK,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,Y,Y,Y,Y,Y,Y,
11,BLUE,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,Y,Y,Y,Y,
11,PRIN,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
12,BLDE,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,,Y,Y,Y,
13,COMO,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
13,WLOU,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,Y,Y,Y,Y,
14,SYCA,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,Y,Y,Y,Y,
15,REDB,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,Y,Y,Y,Y,
16,MART,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,,Y,Y,Y,
16,MCRA,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,Y,Y,Y,Y,
17,BIGC,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,,Y,Y,Y,
17,TECR,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,,Y,Y,Y,
18,OKSR,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
18,TOOK,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
19,CARI,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,Y,Y,,,,Y,
3,FLNT,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,,Y,Y,,,,
3,SUGG,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,Y,Y,,,,Y,
5,CRAM,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,Y,Y,,,,,
5,LIRO,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,,Y,Y,,,Y,
8,BLWA,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,,Y,Y,,Y,,
8,TOMB,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,,Y,Y,,,Y,
9,PRLA,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,Y,Y,,,,,
9,PRPO,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,Y,Y,,,,Y,
18,TOOK,,Bathymetric and morphological maps ,.DP4.00132,,5,,,,,Y,Y,,,,
1,HOPB,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
2,LEWI,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,Y,Y,Y,Y,
2,POSE,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,FLNT,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,SUGG,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
4,CUPE,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
4,GUIL,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
5,CRAM,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
5,LIRO,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
6,KING,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
6,MCDI,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,Y,Y,Y,Y,
7,LECO,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
7,WALK,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
8,BLWA,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
8,MAYF,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
8,TOMB,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRLA,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRPO,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
10,ARIK,,Benthic microbe community composition ,.DP1.20086,,1,,,,Y,Y,Y,Y,Y,Y,
11,BLUE,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,Y,Y,Y,Y,
11,PRIN,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
12,BLDE,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,,Y,Y,Y,
13,COMO,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
13,WLOU,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,Y,Y,Y,Y,
14,SYCA,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,Y,Y,Y,Y,
15,REDB,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,Y,Y,Y,Y,
16,MART,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,,Y,Y,Y,
16,MCRA,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,Y,Y,Y,Y,
17,BIGC,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,,Y,Y,Y,
17,TECR,,Benthic microbe community composition ,.DP1.20086,,1,,,,,,,Y,Y,Y,
18,OKSR,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
18,TOOK,,Benthic microbe community composition ,.DP1.20086,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
19,CARI,,Benthic microbe community composition ,.DP1.20086,,1,,,,,Y,Y,Y,Y,Y,
1,HOPB,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
2,LEWI,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,Y,Y,Y,Y,
2,POSE,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,FLNT,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,SUGG,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
4,CUPE,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
4,GUIL,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
5,CRAM,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
5,LIRO,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
6,KING,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
6,MCDI,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,Y,Y,Y,Y,
7,LECO,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
7,WALK,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
8,BLWA,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
8,MAYF,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
8,TOMB,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRLA,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRPO,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
10,ARIK,,Benthic microbe group abundances ,.DP1.20277,,1,,,,Y,Y,Y,Y,Y,Y,
11,BLUE,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,Y,Y,Y,Y,
11,PRIN,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
12,BLDE,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,,Y,Y,Y,
13,COMO,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
13,WLOU,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,Y,Y,Y,Y,
14,SYCA,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,Y,Y,Y,Y,
15,REDB,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,Y,Y,Y,Y,
16,MART,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,,Y,Y,Y,
16,MCRA,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,Y,Y,Y,Y,
17,BIGC,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,,Y,Y,Y,
17,TECR,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,,,Y,Y,Y,
18,OKSR,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
18,TOOK,,Benthic microbe group abundances ,.DP1.20277,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
19,CARI,,Benthic microbe group abundances ,.DP1.20277,,1,,,,,Y,Y,Y,Y,Y,
1,HOPB,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
2,LEWI,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,Y,Y,Y,Y,
2,POSE,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,FLNT,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,SUGG,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
4,CUPE,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
4,GUIL,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
5,CRAM,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
5,LIRO,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
6,KING,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
6,MCDI,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,Y,Y,Y,Y,
7,LECO,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
7,WALK,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
8,BLWA,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
8,MAYF,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
8,TOMB,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRLA,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRPO,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
10,ARIK,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,Y,Y,Y,Y,Y,Y,
11,BLUE,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,Y,Y,Y,Y,
11,PRIN,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
12,BLDE,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,,Y,Y,Y,
13,COMO,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
13,WLOU,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,Y,Y,Y,Y,
14,SYCA,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,Y,Y,Y,Y,
15,REDB,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,Y,Y,Y,Y,
16,MART,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,,Y,Y,Y,
16,MCRA,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,Y,Y,Y,Y,
17,BIGC,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,,Y,Y,Y,
17,TECR,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,,,Y,Y,Y,
18,OKSR,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
18,TOOK,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
19,CARI,,Benthic microbe marker gene sequences ,.DP1.20280,,1,,,,,Y,Y,Y,Y,Y,
1,HOPB,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
2,LEWI,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,,Y,Y,Y,Y,
2,POSE,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,FLNT,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,SUGG,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
4,CUPE,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
4,GUIL,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
5,CRAM,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
5,LIRO,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
6,KING,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
6,MCDI,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,,Y,Y,Y,Y,
7,LECO,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
7,WALK,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
8,BLWA,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
8,MAYF,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
8,TOMB,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRLA,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
9,PRPO,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
10,ARIK,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,Y,Y,Y,Y,Y,Y,
11,BLUE,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,,Y,Y,Y,Y,
11,PRIN,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,Y,Y,Y,Y,Y,
12,BLDE,,Benthic microbe metagenome sequences ,.DP1.20279,,1,,,,,,,Y,Y,Y,
